INFO - train - Running command 'run_experiment'
INFO - train - Started run with ID "10"
2017-09-10 12:34:22.315489: I tensorflow/core/common_runtime/gpu/gpu_device.cc:940] Found device 0 with properties: 
name: Tesla M60
major: 5 minor: 2 memoryClockRate (GHz) 1.1775
pciBusID 0000:87:00.0
Total memory: 7.93GiB
Free memory: 7.86GiB
2017-09-10 12:34:22.315538: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-09-10 12:34:22.315547: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-09-10 12:34:22.315562: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:87:00.0)
run, epoch, step, training accuracy, validation accuracy
0, 5, 3700, 0.93, 0.892
0, 5, 3800, 0.91, 0.907396
0, 5, 3900, 0.84, 0.90797
0, 5, 4000, 0.92, 0.905826
0, 5, 4100, 0.94, 0.907281
0, 6, 0, 0.95, 0.907281
0, 6, 100, 0.94, 0.907434
0, 6, 200, 0.95, 0.904485
0, 6, 300, 0.95, 0.906592
0, 6, 400, 0.92, 0.898205
0, 6, 500, 0.88, 0.892881
0, 6, 600, 0.93, 0.906975
0, 6, 700, 0.96, 0.907473
0, 6, 800, 0.9, 0.902073
0, 6, 900, 0.86, 0.90169
0, 6, 1000, 0.94, 0.907205
0, 6, 1100, 0.9, 0.90169
0, 6, 1200, 0.91, 0.899315
0, 6, 1300, 0.97, 0.906247
0, 6, 1400, 0.92, 0.900464
0, 6, 1500, 0.83, 0.908085
0, 6, 1600, 0.94, 0.905519
0, 6, 1700, 0.92, 0.900924
0, 6, 1800, 0.86, 0.901154
0, 6, 1900, 0.89, 0.907281
0, 6, 2000, 0.87, 0.904715
0, 6, 2100, 0.87, 0.908468
0, 6, 2200, 0.9, 0.905634
0, 6, 2300, 0.9, 0.907817
0, 6, 2400, 0.93, 0.907051
0, 6, 2500, 0.86, 0.906783
0, 6, 2600, 0.92, 0.907511
0, 6, 2700, 0.94, 0.903298
0, 6, 2800, 0.94, 0.90709
0, 6, 2900, 0.91, 0.905098
0, 6, 3000, 0.88, 0.906094
0, 6, 3100, 0.93, 0.906975
0, 6, 3200, 0.91, 0.907894
0, 6, 3300, 0.9, 0.905443
0, 6, 3400, 0.89, 0.907932
0, 6, 3500, 0.89, 0.907741
0, 6, 3600, 0.9, 0.907856
0, 6, 3700, 0.91, 0.908775
0, 6, 3800, 0.95, 0.909464
0, 6, 3900, 0.88, 0.90843
0, 6, 4000, 0.93, 0.901422
0, 6, 4100, 0.88, 0.90797
0, 7, 0, 0.93, 0.903949
0, 7, 100, 0.91, 0.907817
0, 7, 200, 0.93, 0.906362
0, 7, 300, 0.94, 0.906668
0, 7, 400, 0.91, 0.908775
0, 7, 500, 0.88, 0.905787
0, 7, 600, 0.91, 0.909387
0, 7, 700, 0.93, 0.906132
0, 7, 800, 0.91, 0.902839
0, 7, 900, 0.89, 0.90866
0, 7, 1000, 0.89, 0.907358
0, 7, 1100, 0.93, 0.904677
0, 7, 1200, 0.85, 0.907511
0, 7, 1300, 0.95, 0.905864
0, 7, 1400, 0.9, 0.905826
0, 7, 1500, 0.89, 0.906553
0, 7, 1600, 0.94, 0.903796
0, 7, 1700, 0.91, 0.905136
0, 7, 1800, 0.91, 0.904907
0, 7, 1900, 0.96, 0.903336
0, 7, 2000, 0.91, 0.90686
0, 7, 2100, 0.91, 0.906477
0, 7, 2200, 0.94, 0.907664
0, 7, 2300, 0.88, 0.901728
0, 7, 2400, 0.92, 0.903796
0, 7, 2500, 0.92, 0.903758
0, 7, 2600, 0.91, 0.908775
0, 7, 2700, 0.95, 0.90797
0, 7, 2800, 0.85, 0.906515
0, 7, 2900, 0.92, 0.905634
0, 7, 3000, 0.91, 0.904179
0, 7, 3100, 0.93, 0.90866
0, 7, 3200, 0.89, 0.90663
0, 7, 3300, 0.92, 0.906668
0, 7, 3400, 0.87, 0.902149
0, 7, 3500, 0.91, 0.907588
0, 7, 3600, 0.83, 0.906822
0, 7, 3700, 0.93, 0.909158
0, 7, 3800, 0.91, 0.907243
0, 7, 3900, 0.92, 0.907588
0, 7, 4000, 0.8, 0.906668
0, 7, 4100, 0.94, 0.902341
0, 8, 0, 0.95, 0.907051
0, 8, 100, 0.92, 0.906094
0, 8, 200, 0.91, 0.908085
0, 8, 300, 0.84, 0.901345
0, 8, 400, 0.93, 0.905788
0, 8, 500, 0.93, 0.903758
0, 8, 600, 0.87, 0.90483
0, 8, 700, 0.88, 0.905175
0, 8, 800, 0.87, 0.906592
0, 8, 900, 0.92, 0.905749
0, 8, 1000, 0.93, 0.90483
0, 8, 1100, 0.92, 0.907243
0, 8, 1200, 0.93, 0.907549
0, 8, 1300, 0.89, 0.903605
0, 8, 1400, 0.93, 0.902877
0, 8, 1500, 0.92, 0.908239
0, 8, 1600, 0.86, 0.9028
0, 8, 1700, 0.89, 0.903222
0, 8, 1800, 0.89, 0.907396
0, 8, 1900, 0.9, 0.905596
0, 8, 2000, 0.95, 0.907434
0, 8, 2100, 0.88, 0.907932
0, 8, 2200, 0.88, 0.906056
0, 8, 2300, 0.89, 0.907894
0, 8, 2400, 0.89, 0.905328
0, 8, 2500, 0.92, 0.905826
0, 8, 2600, 0.85, 0.901498
0, 8, 2700, 0.94, 0.907013
0, 8, 2800, 0.9, 0.900579
0, 8, 2900, 0.97, 0.900502
0, 8, 3000, 0.9, 0.906056
0, 8, 3100, 0.9, 0.902609
0, 8, 3200, 0.95, 0.9028
0, 8, 3300, 0.89, 0.90506
0, 8, 3400, 0.92, 0.90529
0, 8, 3500, 0.92, 0.905749
0, 8, 3600, 0.94, 0.907549
0, 8, 3700, 0.85, 0.903987
0, 8, 3800, 0.87, 0.902839
0, 8, 3900, 0.94, 0.908966
0, 8, 4000, 0.88, 0.902762
0, 8, 4100, 0.93, 0.907894
0, 9, 0, 0.93, 0.905864
0, 9, 100, 0.92, 0.906247
0, 9, 200, 0.92, 0.9082
0, 9, 300, 0.92, 0.904064
0, 9, 400, 0.94, 0.904792
0, 9, 500, 0.89, 0.908545
0, 9, 600, 0.9, 0.901422
0, 9, 700, 0.88, 0.891158
0, 9, 800, 0.89, 0.907051
0, 9, 900, 0.87, 0.903298
0, 9, 1000, 0.92, 0.905251
0, 9, 1100, 0.86, 0.90146
0, 9, 1200, 0.89, 0.907013
0, 9, 1300, 0.92, 0.896021
0, 9, 1400, 0.9, 0.908698
0, 9, 1500, 0.87, 0.90797
0, 9, 1600, 0.94, 0.905558
0, 9, 1700, 0.94, 0.894566
0, 9, 1800, 0.9, 0.898856
0, 9, 1900, 0.89, 0.905941
0, 9, 2000, 0.92, 0.902877
0, 9, 2100, 0.9, 0.90709
0, 9, 2200, 0.92, 0.904677
0, 9, 2300, 0.9, 0.907932
0, 9, 2400, 0.93, 0.906477
0, 9, 2500, 0.88, 0.89943
0, 9, 2600, 0.9, 0.908392
0, 9, 2700, 0.89, 0.905022
0, 9, 2800, 0.91, 0.907779
0, 9, 2900, 0.91, 0.9064
0, 9, 3000, 0.93, 0.903605
0, 9, 3100, 0.88, 0.904371
0, 9, 3200, 0.94, 0.905941
0, 9, 3300, 0.91, 0.905788
0, 9, 3400, 0.92, 0.904217
0, 9, 3500, 0.87, 0.905443
0, 9, 3600, 0.89, 0.906553
0, 9, 3700, 0.96, 0.909924
0, 9, 3800, 0.93, 0.905864
0, 9, 3900, 0.9, 0.893915
0, 9, 4000, 0.89, 0.903145
0, 9, 4100, 0.94, 0.900081
0, 10, 0, 0.93, 0.906745
0, 10, 100, 0.88, 0.905864
0, 10, 200, 0.92, 0.900732
0, 10, 300, 0.91, 0.904409
0, 10, 400, 0.88, 0.907205
0, 10, 500, 0.89, 0.909809
0, 10, 600, 0.92, 0.901498
0, 10, 700, 0.89, 0.905979
0, 10, 800, 0.88, 0.908852
0, 10, 900, 0.93, 0.908468
0, 10, 1000, 0.93, 0.892805
0, 10, 1100, 0.91, 0.90483
0, 10, 1200, 0.87, 0.906515
0, 10, 1300, 0.89, 0.904294
0, 10, 1400, 0.88, 0.902188
0, 10, 1500, 0.91, 0.90709
0, 10, 1600, 0.88, 0.902877
0, 10, 1700, 0.83, 0.900081
0, 10, 1800, 0.99, 0.907281
0, 10, 1900, 0.9, 0.902992
0, 10, 2000, 0.91, 0.90529
0, 10, 2100, 0.91, 0.908813
0, 10, 2200, 0.96, 0.899085
0, 10, 2300, 0.91, 0.905519
0, 10, 2400, 0.91, 0.907243
0, 10, 2500, 0.91, 0.907856
0, 10, 2600, 0.9, 0.907013
0, 10, 2700, 0.92, 0.90326
0, 10, 2800, 0.93, 0.907511
0, 10, 2900, 0.89, 0.893187
0, 10, 3000, 0.94, 0.90686
0, 10, 3100, 0.92, 0.905443
0, 10, 3200, 0.91, 0.903336
0, 10, 3300, 0.9, 0.9064
0, 10, 3400, 0.91, 0.909158
0, 10, 3500, 0.95, 0.900119
0, 10, 3600, 0.86, 0.906515
0, 10, 3700, 0.95, 0.908239
0, 10, 3800, 0.91, 0.907281
0, 10, 3900, 0.94, 0.906975
0, 10, 4000, 0.92, 0.907817
0, 10, 4100, 0.91, 0.909617
0, 11, 0, 0.92, 0.893417
0, 11, 100, 0.97, 0.896673
0, 11, 200, 0.92, 0.899468
0, 11, 300, 0.92, 0.907626
0, 11, 400, 0.97, 0.905481
0, 11, 500, 0.91, 0.906056
0, 11, 600, 0.89, 0.906745
0, 11, 700, 0.94, 0.898664
0, 11, 800, 0.89, 0.902953
0, 11, 900, 0.86, 0.908928
0, 11, 1000, 0.88, 0.908277
0, 11, 1100, 0.92, 0.905366
0, 11, 1200, 0.92, 0.907932
0, 11, 1300, 0.91, 0.907856
0, 11, 1400, 0.92, 0.908392
0, 11, 1500, 0.88, 0.904677
0, 11, 1600, 0.88, 0.905175
0, 11, 1700, 0.9, 0.90663
0, 11, 1800, 0.93, 0.906822
0, 11, 1900, 0.9, 0.902992
0, 11, 2000, 0.92, 0.905481
0, 11, 2100, 0.91, 0.905251
0, 11, 2200, 0.94, 0.907932
0, 11, 2300, 0.88, 0.897439
0, 11, 2400, 0.93, 0.900349
0, 11, 2500, 0.91, 0.895562
0, 11, 2600, 0.87, 0.907932
0, 11, 2700, 0.89, 0.9028
0, 11, 2800, 0.91, 0.900387
0, 11, 2900, 0.88, 0.902992
0, 11, 3000, 0.91, 0.905519
0, 11, 3100, 0.91, 0.909119
0, 11, 3200, 0.91, 0.892268
0, 11, 3300, 0.88, 0.908085
0, 11, 3400, 0.92, 0.907205
0, 11, 3500, 0.95, 0.908277
0, 11, 3600, 0.95, 0.908085
0, 11, 3700, 0.87, 0.909311
0, 11, 3800, 0.95, 0.907971
0, 11, 3900, 0.95, 0.907856
0, 11, 4000, 0.89, 0.907779
0, 11, 4100, 0.89, 0.905864
0, 12, 0, 0.9, 0.900694
0, 12, 100, 0.93, 0.90506
0, 12, 200, 0.92, 0.904907
0, 12, 300, 0.91, 0.906515
0, 12, 400, 0.9, 0.904753
0, 12, 500, 0.85, 0.90506
0, 12, 600, 0.9, 0.905903
0, 12, 700, 0.92, 0.904868
0, 12, 800, 0.89, 0.907588
0, 12, 900, 0.97, 0.901958
0, 12, 1000, 0.88, 0.908353
0, 12, 1100, 0.85, 0.907013
0, 12, 1200, 0.91, 0.904677
0, 12, 1300, 0.9, 0.908583
0, 12, 1400, 0.93, 0.90843
0, 12, 1500, 0.9, 0.907243
0, 12, 1600, 0.87, 0.903068
0, 12, 1700, 0.95, 0.904639
0, 12, 1800, 0.92, 0.896443
0, 12, 1900, 0.91, 0.905481
0, 12, 2000, 0.92, 0.90663
0, 12, 2100, 0.9, 0.903413
0, 12, 2200, 0.91, 0.896749
0, 12, 2300, 0.93, 0.902915
0, 12, 2400, 0.93, 0.902302
0, 12, 2500, 0.92, 0.908085
0, 12, 2600, 0.88, 0.902302
0, 12, 2700, 0.89, 0.901498
0, 12, 2800, 0.92, 0.907664
0, 12, 2900, 0.91, 0.907205
0, 12, 3000, 0.96, 0.907932
0, 12, 3100, 0.97, 0.907932
0, 12, 3200, 0.88, 0.903336
0, 12, 3300, 0.85, 0.900426
0, 12, 3400, 0.92, 0.9082
0, 12, 3500, 0.93, 0.901651
0, 12, 3600, 0.93, 0.907434
0, 12, 3700, 0.95, 0.905826
0, 12, 3800, 0.92, 0.904907
0, 12, 3900, 0.96, 0.9028
0, 12, 4000, 0.92, 0.904907
0, 12, 4100, 0.9, 0.906209
0, 13, 0, 0.87, 0.90709
0, 13, 100, 0.91, 0.906668
0, 13, 200, 0.94, 0.903719
0, 13, 300, 0.96, 0.905098
0, 13, 400, 0.87, 0.901651
0, 13, 500, 0.89, 0.904753
0, 13, 600, 0.92, 0.908775
0, 13, 700, 0.9, 0.908966
0, 13, 800, 0.88, 0.909847
0, 13, 900, 0.87, 0.905634
0, 13, 1000, 0.91, 0.906592
0, 13, 1100, 0.89, 0.907932
0, 13, 1200, 0.9, 0.900426
0, 13, 1300, 0.9, 0.908545
0, 13, 1400, 0.91, 0.900809
0, 13, 1500, 0.89, 0.90866
0, 13, 1600, 0.89, 0.910345
0, 13, 1700, 0.89, 0.892651
0, 13, 1800, 0.91, 0.905022
0, 13, 1900, 0.96, 0.906017
0, 13, 2000, 0.89, 0.895179
0, 13, 2100, 0.9, 0.903183
0, 13, 2200, 0.9, 0.898473
0, 13, 2300, 0.9, 0.905941
0, 13, 2400, 0.93, 0.902953
0, 13, 2500, 0.9, 0.904064
0, 13, 2600, 0.94, 0.90483
0, 13, 2700, 0.93, 0.907626
0, 13, 2800, 0.89, 0.907626
0, 13, 2900, 0.92, 0.905826
0, 13, 3000, 0.91, 0.900962
0, 13, 3100, 0.9, 0.902111
0, 13, 3200, 0.91, 0.906515
0, 13, 3300, 0.91, 0.904485
0, 13, 3400, 0.9, 0.888822
0, 13, 3500, 0.88, 0.906056
0, 13, 3600, 0.94, 0.906094
0, 13, 3700, 0.93, 0.905787
0, 13, 3800, 0.86, 0.901843
0, 13, 3900, 0.86, 0.89223
0, 13, 4000, 0.91, 0.907434
0, 13, 4100, 0.93, 0.900656
0, 14, 0, 0.93, 0.899277
0, 14, 100, 0.92, 0.901996
0, 14, 200, 0.87, 0.905749
0, 14, 300, 0.92, 0.904907
0, 14, 400, 0.96, 0.904485
0, 14, 500, 0.92, 0.901345
0, 14, 600, 0.94, 0.906822
0, 14, 700, 0.93, 0.906975
0, 14, 800, 0.91, 0.902494
0, 14, 900, 0.95, 0.908315
0, 14, 1000, 0.88, 0.904715
0, 14, 1100, 0.92, 0.905251
0, 14, 1200, 0.95, 0.907741
0, 14, 1300, 0.91, 0.905673
0, 14, 1400, 0.9, 0.904371
0, 14, 1500, 0.87, 0.907473
0, 14, 1600, 0.95, 0.906285
0, 14, 1700, 0.96, 0.900349
0, 14, 1800, 0.88, 0.904447
0, 14, 1900, 0.92, 0.9064
0, 14, 2000, 0.95, 0.903873
0, 14, 2100, 0.96, 0.904141
0, 14, 2200, 0.89, 0.907741
0, 14, 2300, 0.91, 0.895409
0, 14, 2400, 0.87, 0.900426
0, 14, 2500, 0.88, 0.907205
0, 14, 2600, 0.87, 0.898396
0, 14, 2700, 0.88, 0.906553
0, 14, 2800, 0.93, 0.906936
0, 14, 2900, 0.91, 0.902149
0, 14, 3000, 0.93, 0.903451
0, 14, 3100, 0.9, 0.903988
0, 14, 3200, 0.92, 0.906936
0, 14, 3300, 0.92, 0.907396
0, 14, 3400, 0.86, 0.894336
0, 14, 3500, 0.91, 0.903911
0, 14, 3600, 0.89, 0.893149
0, 14, 3700, 0.93, 0.897017
0, 14, 3800, 0.84, 0.905519
0, 14, 3900, 0.93, 0.899009
0, 14, 4000, 0.94, 0.905328
0, 14, 4100, 0.92, 0.905941
0, 15, 0, 0.92, 0.905098
0, 15, 100, 0.93, 0.90797
0, 15, 200, 0.94, 0.899966
0, 15, 300, 0.92, 0.907894
0, 15, 400, 0.92, 0.901804
0, 15, 500, 0.92, 0.90437
0, 15, 600, 0.87, 0.905213
0, 15, 700, 0.88, 0.903949
0, 15, 800, 0.91, 0.908851
0, 15, 900, 0.94, 0.905519
0, 15, 1000, 0.92, 0.90483
0, 15, 1100, 0.91, 0.902954
0, 15, 1200, 0.93, 0.901843
0, 15, 1300, 0.86, 0.900771
0, 15, 1400, 0.93, 0.906936
0, 15, 1500, 0.92, 0.895294
0, 15, 1600, 0.92, 0.904026
0, 15, 1700, 0.89, 0.905749
0, 15, 1800, 0.94, 0.905481
0, 15, 1900, 0.91, 0.905979
0, 15, 2000, 0.94, 0.907932
0, 15, 2100, 0.88, 0.890621
0, 15, 2200, 0.94, 0.901383
0, 15, 2300, 0.86, 0.893532
0, 15, 2400, 0.93, 0.905481
0, 15, 2500, 0.91, 0.909541
0, 15, 2600, 0.88, 0.9064
0, 15, 2700, 0.91, 0.906707
0, 15, 2800, 0.92, 0.898051
0, 15, 2900, 0.92, 0.904868
0, 15, 3000, 0.94, 0.906285
0, 15, 3100, 0.89, 0.905864
0, 15, 3200, 0.86, 0.90686
0, 15, 3300, 0.92, 0.907396
0, 15, 3400, 0.87, 0.904485
0, 15, 3500, 0.94, 0.89717
0, 15, 3600, 0.91, 0.890468
0, 15, 3700, 0.86, 0.899507
