INFO - train - Running command 'run_experiment'
INFO - train - Started run with ID "10"
2017-09-10 12:34:22.315489: I tensorflow/core/common_runtime/gpu/gpu_device.cc:940] Found device 0 with properties: 
name: Tesla M60
major: 5 minor: 2 memoryClockRate (GHz) 1.1775
pciBusID 0000:87:00.0
Total memory: 7.93GiB
Free memory: 7.86GiB
2017-09-10 12:34:22.315538: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-09-10 12:34:22.315547: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-09-10 12:34:22.315562: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:87:00.0)
run, epoch, step, training accuracy, validation accuracy
0, 0, 0, 0.6, 0.633641
0, 0, 100, 0.93, 0.883115
0, 0, 200, 0.9, 0.89357
0, 0, 300, 0.89, 0.895524
0, 0, 400, 0.9, 0.894681
0, 0, 500, 0.87, 0.897936
0, 0, 600, 0.92, 0.893839
0, 0, 700, 0.89, 0.900541
0, 0, 800, 0.89, 0.881507
0, 0, 900, 0.9, 0.888362
0, 0, 1000, 0.92, 0.899736
0, 0, 1100, 0.89, 0.89786
0, 0, 1200, 0.88, 0.901728
0, 0, 1300, 0.92, 0.898319
0, 0, 1400, 0.92, 0.898205
0, 0, 1500, 0.97, 0.902877
0, 0, 1600, 0.89, 0.897707
0, 0, 1700, 0.93, 0.900732
0, 0, 1800, 0.87, 0.88997
0, 0, 1900, 0.95, 0.900579
0, 0, 2000, 0.89, 0.903566
0, 0, 2100, 0.83, 0.874383
0, 0, 2200, 0.92, 0.898281
0, 0, 2300, 0.87, 0.903605
0, 0, 2400, 0.9, 0.900081
0, 0, 2500, 0.91, 0.905634
0, 0, 2600, 0.92, 0.90303
0, 0, 2700, 0.95, 0.905213
0, 0, 2800, 0.91, 0.8992
0, 0, 2900, 0.92, 0.896098
0, 0, 3000, 0.9, 0.897707
0, 0, 3100, 0.93, 0.897745
0, 0, 3200, 0.92, 0.905558
0, 0, 3300, 0.93, 0.905213
0, 0, 3400, 0.89, 0.904485
0, 0, 3500, 0.89, 0.903222
0, 0, 3600, 0.95, 0.9064
0, 0, 3700, 0.87, 0.871051
0, 0, 3800, 0.89, 0.903834
0, 0, 3900, 0.9, 0.905826
0, 0, 4000, 0.94, 0.904907
0, 0, 4100, 0.94, 0.90663
0, 1, 0, 0.93, 0.904141
0, 1, 100, 0.85, 0.906439
0, 1, 200, 0.91, 0.900081
0, 1, 300, 0.95, 0.90326
0, 1, 400, 0.92, 0.902494
0, 1, 500, 0.93, 0.906936
0, 1, 600, 0.94, 0.905826
0, 1, 700, 0.92, 0.903643
0, 1, 800, 0.92, 0.906247
0, 1, 900, 0.92, 0.901345
0, 1, 1000, 0.93, 0.9064
0, 1, 1100, 0.9, 0.904102
0, 1, 1200, 0.89, 0.907013
0, 1, 1300, 0.94, 0.906439
0, 1, 1400, 0.88, 0.900579
0, 1, 1500, 0.94, 0.905864
0, 1, 1600, 0.88, 0.906515
0, 1, 1700, 0.91, 0.907281
0, 1, 1800, 0.9, 0.905558
0, 1, 1900, 0.9, 0.903222
0, 1, 2000, 0.88, 0.90529
0, 1, 2100, 0.84, 0.904102
0, 1, 2200, 0.93, 0.906209
0, 1, 2300, 0.95, 0.907358
0, 1, 2400, 0.93, 0.906209
0, 1, 2500, 0.91, 0.90617
0, 1, 2600, 0.85, 0.904562
0, 1, 2700, 0.87, 0.905673
0, 1, 2800, 0.93, 0.907319
0, 1, 2900, 0.84, 0.89897
0, 1, 3000, 0.93, 0.903605
0, 1, 3100, 0.94, 0.899238
0, 1, 3200, 0.91, 0.908315
0, 1, 3300, 0.9, 0.907741
0, 1, 3400, 0.89, 0.904409
0, 1, 3500, 0.91, 0.906898
0, 1, 3600, 0.92, 0.906439
0, 1, 3700, 0.86, 0.9046
0, 1, 3800, 0.92, 0.907358
0, 1, 3900, 0.91, 0.905405
0, 1, 4000, 0.89, 0.907243
0, 1, 4100, 0.91, 0.903949
0, 2, 0, 0.92, 0.90686
0, 2, 100, 0.87, 0.907051
0, 2, 200, 0.86, 0.90663
0, 2, 300, 0.89, 0.907702
0, 2, 400, 0.93, 0.906209
0, 2, 500, 0.93, 0.9082
0, 2, 600, 0.86, 0.903605
0, 2, 700, 0.95, 0.905175
0, 2, 800, 0.95, 0.904639
0, 2, 900, 0.92, 0.907779
0, 2, 1000, 0.95, 0.907013
0, 2, 1100, 0.92, 0.907205
0, 2, 1200, 0.88, 0.903643
0, 2, 1300, 0.88, 0.907205
0, 2, 1400, 0.92, 0.904754
0, 2, 1500, 0.93, 0.906783
0, 2, 1600, 0.93, 0.907741
0, 2, 1700, 0.95, 0.907358
0, 2, 1800, 0.94, 0.9082
0, 2, 1900, 0.94, 0.902953
0, 2, 2000, 0.88, 0.903987
0, 2, 2100, 0.92, 0.903298
0, 2, 2200, 0.9, 0.898702
0, 2, 2300, 0.9, 0.904485
0, 2, 2400, 0.89, 0.906515
0, 2, 2500, 0.9, 0.903987
0, 2, 2600, 0.9, 0.904715
0, 2, 2700, 0.94, 0.906171
0, 2, 2800, 0.91, 0.907932
0, 2, 2900, 0.87, 0.903605
0, 2, 3000, 0.89, 0.907319
0, 2, 3100, 0.95, 0.906247
0, 2, 3200, 0.94, 0.907396
0, 2, 3300, 0.88, 0.906707
0, 2, 3400, 0.91, 0.908009
0, 2, 3500, 0.9, 0.906324
0, 2, 3600, 0.9, 0.906362
0, 2, 3700, 0.91, 0.893762
0, 2, 3800, 0.93, 0.907588
0, 2, 3900, 0.87, 0.905711
0, 2, 4000, 0.86, 0.907511
0, 2, 4100, 0.92, 0.90506
0, 3, 0, 0.86, 0.907511
0, 3, 100, 0.9, 0.906975
0, 3, 200, 0.89, 0.901613
0, 3, 300, 0.92, 0.906822
0, 3, 400, 0.91, 0.906554
0, 3, 500, 0.91, 0.907166
0, 3, 600, 0.86, 0.889741
0, 3, 700, 0.86, 0.904907
0, 3, 800, 0.89, 0.905251
0, 3, 900, 0.92, 0.906094
0, 3, 1000, 0.92, 0.907051
0, 3, 1100, 0.85, 0.90663
0, 3, 1200, 0.88, 0.904179
0, 3, 1300, 0.91, 0.902379
0, 3, 1400, 0.93, 0.902494
0, 3, 1500, 0.92, 0.897439
0, 3, 1600, 0.91, 0.907358
0, 3, 1700, 0.92, 0.901919
0, 3, 1800, 0.88, 0.907473
0, 3, 1900, 0.89, 0.90437
0, 3, 2000, 0.87, 0.901881
0, 3, 2100, 0.88, 0.898741
0, 3, 2200, 0.9, 0.90843
0, 3, 2300, 0.91, 0.896634
0, 3, 2400, 0.88, 0.906017
0, 3, 2500, 0.89, 0.907702
0, 3, 2600, 0.91, 0.905405
0, 3, 2700, 0.88, 0.904945
0, 3, 2800, 0.97, 0.907779
0, 3, 2900, 0.92, 0.906592
0, 3, 3000, 0.94, 0.904754
0, 3, 3100, 0.92, 0.906017
0, 3, 3200, 0.92, 0.907626
0, 3, 3300, 0.9, 0.904639
0, 3, 3400, 0.88, 0.9046
0, 3, 3500, 0.87, 0.903298
0, 3, 3600, 0.93, 0.906707
0, 3, 3700, 0.93, 0.905443
0, 3, 3800, 0.92, 0.906324
0, 3, 3900, 0.86, 0.886907
0, 3, 4000, 0.91, 0.906668
0, 3, 4100, 0.9, 0.906898
0, 4, 0, 0.89, 0.906975
0, 4, 100, 0.92, 0.906783
0, 4, 200, 0.92, 0.904179
0, 4, 300, 0.92, 0.905749
0, 4, 400, 0.93, 0.907013
0, 4, 500, 0.91, 0.907051
0, 4, 600, 0.87, 0.908775
0, 4, 700, 0.91, 0.904753
0, 4, 800, 0.83, 0.901383
0, 4, 900, 0.92, 0.9064
0, 4, 1000, 0.89, 0.907319
0, 4, 1100, 0.92, 0.907128
0, 4, 1200, 0.87, 0.903834
0, 4, 1300, 0.87, 0.904907
0, 4, 1400, 0.92, 0.905558
0, 4, 1500, 0.86, 0.903681
0, 4, 1600, 0.96, 0.906362
0, 4, 1700, 0.94, 0.904868
0, 4, 1800, 0.92, 0.896519
0, 4, 1900, 0.91, 0.907166
0, 4, 2000, 0.89, 0.905711
0, 4, 2100, 0.92, 0.906247
0, 4, 2200, 0.92, 0.907396
0, 4, 2300, 0.9, 0.908583
0, 4, 2400, 0.88, 0.902111
0, 4, 2500, 0.87, 0.907894
0, 4, 2600, 0.91, 0.907434
0, 4, 2700, 0.93, 0.908583
0, 4, 2800, 0.94, 0.907319
0, 4, 2900, 0.94, 0.906936
0, 4, 3000, 0.93, 0.907281
0, 4, 3100, 0.9, 0.907166
0, 4, 3200, 0.88, 0.906975
0, 4, 3300, 0.91, 0.904715
0, 4, 3400, 0.89, 0.904026
0, 4, 3500, 0.9, 0.907205
0, 4, 3600, 0.86, 0.908315
0, 4, 3700, 0.79, 0.907817
0, 4, 3800, 0.94, 0.904907
0, 4, 3900, 0.91, 0.899966
0, 4, 4000, 0.91, 0.908545
0, 4, 4100, 0.93, 0.900656
0, 5, 0, 0.84, 0.900809
0, 5, 100, 0.88, 0.904792
0, 5, 200, 0.86, 0.905711
0, 5, 300, 0.85, 0.907434
0, 5, 400, 0.89, 0.906975
0, 5, 500, 0.86, 0.898741
0, 5, 600, 0.93, 0.899775
0, 5, 700, 0.92, 0.908009
0, 5, 800, 0.92, 0.90797
0, 5, 900, 0.92, 0.904064
0, 5, 1000, 0.89, 0.906668
0, 5, 1100, 0.94, 0.906017
0, 5, 1200, 0.9, 0.908736
0, 5, 1300, 0.87, 0.904064
0, 5, 1400, 0.91, 0.906477
0, 5, 1500, 0.92, 0.903183
0, 5, 1600, 0.92, 0.906668
0, 5, 1700, 0.9, 0.906822
0, 5, 1800, 0.92, 0.905405
0, 5, 1900, 0.9, 0.905519
0, 5, 2000, 0.97, 0.905826
0, 5, 2100, 0.86, 0.906783
0, 5, 2200, 0.93, 0.906936
0, 5, 2300, 0.92, 0.907243
0, 5, 2400, 0.85, 0.907166
0, 5, 2500, 0.94, 0.905941
0, 5, 2600, 0.93, 0.906668
0, 5, 2700, 0.93, 0.908085
0, 5, 2800, 0.94, 0.905328
0, 5, 2900, 0.92, 0.907358
0, 5, 3000, 0.91, 0.908085
0, 5, 3100, 0.91, 0.908851
0, 5, 3200, 0.83, 0.903605
0, 5, 3300, 0.81, 0.904792
0, 5, 3400, 0.93, 0.905175
0, 5, 3500, 0.94, 0.904753
0, 5, 3600, 0.94, 0.908315
